"Variable Code","Country or Area Code","Country or Area","Year(s) Code","Year(s)","Variant Code","Variant","Value"
"12","643","Russian Federation","122","2071","7","Zero migration","115211.062"
"12","643","Russian Federation","122","2071","8","Constant mortality","102858.768"
"12","643","Russian Federation","122","2071","9","No change","94782.098"
"12","643","Russian Federation","122","2071","10","Momentum","117488.508"
"12","643","Russian Federation","122","2071","16","Instant replacement zero migration","136610.908"
"12","643","Russian Federation","122","2071","202","Median PI","121987.126"
"12","643","Russian Federation","122","2071","203","Upper 80 PI","133879.793"
"12","643","Russian Federation","122","2071","204","Lower 80 PI","109029.282"
"12","643","Russian Federation","122","2071","206","Upper 95 PI","140233.451"
"12","643","Russian Federation","122","2071","207","Lower 95 PI","101790.484"
"12","643","Russian Federation","121","2070","2","Medium","122489.972"
"12","643","Russian Federation","121","2070","3","High","145721.981"
"12","643","Russian Federation","121","2070","4","Low","102066.58"
"12","643","Russian Federation","121","2070","5","Constant fertility","114496.397"
"12","643","Russian Federation","121","2070","6","Instant replacement","143996.79"
"12","643","Russian Federation","121","2070","7","Zero migration","115859.632"
"12","643","Russian Federation","121","2070","8","Constant mortality","103508.254"
"12","643","Russian Federation","121","2070","9","No change","95699.402"
"12","643","Russian Federation","121","2070","10","Momentum","117767.702"
"12","643","Russian Federation","121","2070","16","Instant replacement zero migration","136732.139"
"12","643","Russian Federation","121","2070","202","Median PI","122489.972"
"12","643","Russian Federation","121","2070","203","Upper 80 PI","134065.882"
"12","643","Russian Federation","121","2070","204","Lower 80 PI","109753.994"
"12","643","Russian Federation","121","2070","206","Upper 95 PI","140283.494"
"12","643","Russian Federation","121","2070","207","Lower 95 PI","102773.162"
"12","643","Russian Federation","120","2069","2","Medium","123004.018"
"12","643","Russian Federation","120","2069","3","High","145475.517"
"12","643","Russian Federation","120","2069","4","Low","103153.957"
"12","643","Russian Federation","120","2069","5","Constant fertility","115279.177"
"12","643","Russian Federation","120","2069","6","Instant replacement","143959.925"
"12","643","Russian Federation","120","2069","7","Zero migration","116519.641"
"12","643","Russian Federation","120","2069","8","Constant mortality","104188.562"
"12","643","Russian Federation","120","2069","9","No change","96636.098"
"12","643","Russian Federation","120","2069","10","Momentum","118077.295"
"12","643","Russian Federation","120","2069","16","Instant replacement zero migration","136865.617"
"12","643","Russian Federation","120","2069","202","Median PI","123004.018"
"12","643","Russian Federation","120","2069","203","Upper 80 PI","134416.548"
"12","643","Russian Federation","120","2069","204","Lower 80 PI","110543.501"
"12","643","Russian Federation","120","2069","206","Upper 95 PI","140339.874"
"12","643","Russian Federation","120","2069","207","Lower 95 PI","103681.709"
"12","643","Russian Federation","119","2068","2","Medium","123525.046"
"12","643","Russian Federation","119","2068","3","High","145243.278"
"12","643","Russian Federation","119","2068","4","Low","104243.571"
"12","643","Russian Federation","119","2068","5","Constant fertility","116060.625"
"12","643","Russian Federation","119","2068","6","Instant replacement","143933.715"
"12","643","Russian Federation","119","2068","7","Zero migration","117187.03"
"12","643","Russian Federation","119","2068","8","Constant mortality","104895.658"
"12","643","Russian Federation","119","2068","9","No change","97592.071"
"12","643","Russian Federation","119","2068","10","Momentum","118415.74"
"12","643","Russian Federation","119","2068","16","Instant replacement zero migration","137009.525"
"12","643","Russian Federation","119","2068","202","Median PI","123525.046"
"12","643","Russian Federation","119","2068","203","Upper 80 PI","134767.614"
"12","643","Russian Federation","119","2068","204","Lower 80 PI","111421.624"
"12","643","Russian Federation","119","2068","206","Upper 95 PI","140498.298"
"12","643","Russian Federation","119","2068","207","Lower 95 PI","104613.873"
"12","643","Russian Federation","118","2067","2","Medium","124056.898"
"12","643","Russian Federation","118","2067","3","High","145031.288"
"12","643","Russian Federation","118","2067","4","Low","105337.289"
"12","643","Russian Federation","118","2067","5","Constant fertility","116840.427"
"12","643","Russian Federation","118","2067","6","Instant replacement","143915.752"
"12","643","Russian Federation","118","2067","7","Zero migration","117865.226"
"12","643","Russian Federation","118","2067","8","Constant mortality","105633.2"
"12","643","Russian Federation","118","2067","9","No change","98566.872"
"12","643","Russian Federation","118","2067","10","Momentum","118780.617"
"12","643","Russian Federation","118","2067","16","Instant replacement zero migration","137161.397"
"12","643","Russian Federation","118","2067","202","Median PI","124056.898"
"12","643","Russian Federation","118","2067","203","Upper 80 PI","135005.737"
"12","643","Russian Federation","118","2067","204","Lower 80 PI","112271.492"
"12","643","Russian Federation","118","2067","206","Upper 95 PI","140615.892"
"12","643","Russian Federation","118","2067","207","Lower 95 PI","105518.383"
"12","643","Russian Federation","117","2066","2","Medium","124601.187"
"12","643","Russian Federation","117","2066","3","High","144842.769"
"12","643","Russian Federation","117","2066","4","Low","106435.537"
"12","643","Russian Federation","117","2066","5","Constant fertility","117618.867"
"12","643","Russian Federation","117","2066","6","Instant replacement","143903.926"
"12","643","Russian Federation","117","2066","7","Zero migration","118555.589"
"12","643","Russian Federation","117","2066","8","Constant mortality","106401.784"
"12","643","Russian Federation","117","2066","9","No change","99559.734"
"12","643","Russian Federation","117","2066","10","Momentum","119168.826"
"12","643","Russian Federation","117","2066","16","Instant replacement zero migration","137319.037"
"12","643","Russian Federation","117","2066","202","Median PI","124601.187"
"12","643","Russian Federation","117","2066","203","Upper 80 PI","135226.339"
"12","643","Russian Federation","117","2066","204","Lower 80 PI","112958.966"
"12","643","Russian Federation","117","2066","206","Upper 95 PI","140732.108"
"12","643","Russian Federation","117","2066","207","Lower 95 PI","106377.691"
"12","643","Russian Federation","116","2065","2","Medium","125152.477"
"12","643","Russian Federation","116","2065","3","High","144671.85"
"12","643","Russian Federation","116","2065","4","Low","107533.648"
"12","643","Russian Federation","116","2065","5","Constant fertility","118396.239"
"12","643","Russian Federation","116","2065","6","Instant replacement","143896.264"
"12","643","Russian Federation","116","2065","7","Zero migration","119252.889"
"12","643","Russian Federation","116","2065","8","Constant mortality","107194.699"
"12","643","Russian Federation","116","2065","9","No change","100569.568"
"12","643","Russian Federation","116","2065","10","Momentum","119577.018"
"12","643","Russian Federation","116","2065","16","Instant replacement zero migration","137480.358"
"12","643","Russian Federation","116","2065","202","Median PI","125152.477"
"12","643","Russian Federation","116","2065","203","Upper 80 PI","135500.788"
"12","643","Russian Federation","116","2065","204","Lower 80 PI","113687.227"
"12","643","Russian Federation","116","2065","206","Upper 95 PI","140884.787"
"12","643","Russian Federation","116","2065","207","Lower 95 PI","107284.402"
"12","643","Russian Federation","115","2064","2","Medium","125708.193"
"12","643","Russian Federation","115","2064","3","High","144516.585"
"12","643","Russian Federation","115","2064","4","Low","108628.936"
"12","643","Russian Federation","115","2064","5","Constant fertility","119172.569"
"12","643","Russian Federation","115","2064","6","Instant replacement","143890.768"
"12","643","Russian Federation","115","2064","7","Zero migration","119954.545"
"12","643","Russian Federation","115","2064","8","Constant mortality","108008.05"
"12","643","Russian Federation","115","2064","9","No change","101595.015"
"12","643","Russian Federation","115","2064","10","Momentum","120001.811"
"12","643","Russian Federation","115","2064","16","Instant replacement zero migration","137643.264"
"12","643","Russian Federation","115","2064","202","Median PI","125708.193"
"12","643","Russian Federation","115","2064","203","Upper 80 PI","135836.247"
"12","643","Russian Federation","115","2064","204","Lower 80 PI","114581.743"
"12","643","Russian Federation","115","2064","206","Upper 95 PI","141119.954"
"12","643","Russian Federation","115","2064","207","Lower 95 PI","108243.366"
"12","643","Russian Federation","114","2063","2","Medium","126266.229"
"12","643","Russian Federation","114","2063","3","High","144375.708"
"12","643","Russian Federation","114","2063","4","Low","109719.21"
"12","643","Russian Federation","114","2063","5","Constant fertility","119948.438"
"12","643","Russian Federation","114","2063","6","Instant replacement","143886.326"
"12","643","Russian Federation","114","2063","7","Zero migration","120658.447"
"12","643","Russian Federation","114","2063","8","Constant mortality","108837.68"
"12","643","Russian Federation","114","2063","9","No change","102634.542"
"12","643","Russian Federation","114","2063","10","Momentum","120439.936"
"12","643","Russian Federation","114","2063","16","Instant replacement zero migration","137806.534"
"12","643","Russian Federation","114","2063","202","Median PI","126266.229"
"12","643","Russian Federation","114","2063","203","Upper 80 PI","136194.873"
"12","643","Russian Federation","114","2063","204","Lower 80 PI","115504.774"
"12","643","Russian Federation","114","2063","206","Upper 95 PI","141353.609"
"12","643","Russian Federation","114","2063","207","Lower 95 PI","109247.124"
"12","643","Russian Federation","113","2062","2","Medium","126828.583"
"12","643","Russian Federation","113","2062","3","High","144252.957"
"12","643","Russian Federation","113","2062","4","Low","110805.321"
"12","643","Russian Federation","113","2062","5","Constant fertility","120724.33"
"12","643","Russian Federation","113","2062","6","Instant replacement","143882.277"
"12","643","Russian Federation","113","2062","7","Zero migration","121366.277"
"12","643","Russian Federation","113","2062","8","Constant mortality","109683.457"
"12","643","Russian Federation","113","2062","9","No change","103686.507"
"12","643","Russian Federation","113","2062","10","Momentum","120888.595"
"12","643","Russian Federation","113","2062","16","Instant replacement zero migration","137969.364"
"12","643","Russian Federation","113","2062","202","Median PI","126828.584"
"12","643","Russian Federation","113","2062","203","Upper 80 PI","136459.274"
"12","643","Russian Federation","113","2062","204","Lower 80 PI","116362.883"
"12","643","Russian Federation","113","2062","206","Upper 95 PI","141451.697"
"12","643","Russian Federation","113","2062","207","Lower 95 PI","110324.702"
"12","643","Russian Federation","112","2061","2","Medium","127393.455"
"12","643","Russian Federation","112","2061","3","High","144147.406"
"12","643","Russian Federation","112","2061","4","Low","111885.125"
"12","643","Russian Federation","112","2061","5","Constant fertility","121499.826"
"12","643","Russian Federation","112","2061","6","Instant replacement","143877.739"
"12","643","Russian Federation","112","2061","7","Zero migration","122076.147"
"12","643","Russian Federation","112","2061","8","Constant mortality","110542.322"
"12","643","Russian Federation","112","2061","9","No change","104749.177"
"12","643","Russian Federation","112","2061","10","Momentum","121345.591"
"12","643","Russian Federation","112","2061","16","Instant replacement zero migration","138130.759"
"12","643","Russian Federation","112","2061","202","Median PI","127393.456"
"12","643","Russian Federation","112","2061","203","Upper 80 PI","136739.648"
"12","643","Russian Federation","112","2061","204","Lower 80 PI","117184.937"
"12","643","Russian Federation","112","2061","206","Upper 95 PI","141583.343"
"12","643","Russian Federation","112","2061","207","Lower 95 PI","111422.055"
"12","643","Russian Federation","111","2060","2","Medium","127957.595"
"12","643","Russian Federation","111","2060","3","High","144056.306"
"12","643","Russian Federation","111","2060","4","Low","112955.572"
"12","643","Russian Federation","111","2060","5","Constant fertility","122274.497"
"12","643","Russian Federation","111","2060","6","Instant replacement","143872.339"
"12","643","Russian Federation","111","2060","7","Zero migration","122784.83"
"12","643","Russian Federation","111","2060","8","Constant mortality","111409.682"
"12","643","Russian Federation","111","2060","9","No change","105820.712"
"12","643","Russian Federation","111","2060","10","Momentum","121809.119"
"12","643","Russian Federation","111","2060","16","Instant replacement zero migration","138290.245"
"12","643","Russian Federation","111","2060","202","Median PI","127957.595"
"12","643","Russian Federation","111","2060","203","Upper 80 PI","137047.455"
"12","643","Russian Federation","111","2060","204","Lower 80 PI","117982.093"
"12","643","Russian Federation","111","2060","206","Upper 95 PI","141774.392"
"12","643","Russian Federation","111","2060","207","Lower 95 PI","112430.314"
"12","643","Russian Federation","110","2059","2","Medium","128519.549"
"12","643","Russian Federation","110","2059","3","High","143978.734"
"12","643","Russian Federation","110","2059","4","Low","114015.181"
"12","643","Russian Federation","110","2059","5","Constant fertility","123048.246"
"12","643","Russian Federation","110","2059","6","Instant replacement","143866.864"
"12","643","Russian Federation","110","2059","7","Zero migration","123490.789"
"12","643","Russian Federation","110","2059","8","Constant mortality","112282.253"
"12","643","Russian Federation","110","2059","9","No change","106899.143"
"12","643","Russian Federation","110","2059","10","Momentum","122278.049"
"12","643","Russian Federation","110","2059","16","Instant replacement zero migration","138448.465"
"12","643","Russian Federation","110","2059","202","Median PI","128519.549"
"12","643","Russian Federation","110","2059","203","Upper 80 PI","137323.68"
"12","643","Russian Federation","110","2059","204","Lower 80 PI","118790.924"
"12","643","Russian Federation","110","2059","206","Upper 95 PI","141958.963"
"12","643","Russian Federation","110","2059","207","Lower 95 PI","113456.244"
"12","643","Russian Federation","109","2058","2","Medium","129076.299"
"12","643","Russian Federation","109","2058","3","High","143911.454"
"12","643","Russian Federation","109","2058","4","Low","115061.262"
"12","643","Russian Federation","109","2058","5","Constant fertility","123820.325"
"12","643","Russian Federation","109","2058","6","Instant replacement","143861.997"
"12","643","Russian Federation","109","2058","7","Zero migration","124191.01"
"12","643","Russian Federation","109","2058","8","Constant mortality","113155.667"
"12","643","Russian Federation","109","2058","9","No change","107982.307"
"12","643","Russian Federation","109","2058","10","Momentum","122751.639"
"12","643","Russian Federation","109","2058","16","Instant replacement zero migration","138606.005"
"12","643","Russian Federation","109","2058","202","Median PI","129076.299"
"12","643","Russian Federation","109","2058","203","Upper 80 PI","137645.31"
"12","643","Russian Federation","109","2058","204","Lower 80 PI","119587.349"
"12","643","Russian Federation","109","2058","206","Upper 95 PI","142160.918"
"12","643","Russian Federation","109","2058","207","Lower 95 PI","114412.477"
"12","643","Russian Federation","108","2057","2","Medium","129627.234"
"12","643","Russian Federation","108","2057","3","High","143853.839"
"12","643","Russian Federation","108","2057","4","Low","116093.231"
"12","643","Russian Federation","108","2057","5","Constant fertility","124590.203"
"12","643","Russian Federation","108","2057","6","Instant replacement","143859.139"
"12","643","Russian Federation","108","2057","7","Zero migration","124884.733"
"12","643","Russian Federation","108","2057","8","Constant mortality","114027.53"
"12","643","Russian Federation","108","2057","9","No change","109067.869"
"12","643","Russian Federation","108","2057","10","Momentum","123229.461"
"12","643","Russian Federation","108","2057","16","Instant replacement zero migration","138764.133"
"12","643","Russian Federation","108","2057","202","Median PI","129627.234"
"12","643","Russian Federation","108","2057","203","Upper 80 PI","137849.679"
"12","643","Russian Federation","108","2057","204","Lower 80 PI","120348.831"
"12","643","Russian Federation","108","2057","206","Upper 95 PI","142282.472"
"12","643","Russian Federation","108","2057","207","Lower 95 PI","115160.753"
"12","643","Russian Federation","107","2056","2","Medium","130169.445"
"12","643","Russian Federation","107","2056","3","High","143803.048"
"12","643","Russian Federation","107","2056","4","Low","117108.566"
"12","643","Russian Federation","107","2056","5","Constant fertility","125356.224"
"12","643","Russian Federation","107","2056","6","Instant replacement","143859.065"
"12","643","Russian Federation","107","2056","7","Zero migration","125569.004"
"12","643","Russian Federation","107","2056","8","Constant mortality","114894.182"
"12","643","Russian Federation","107","2056","9","No change","110153.367"
"12","643","Russian Federation","107","2056","10","Momentum","123711.504"
"12","643","Russian Federation","107","2056","16","Instant replacement zero migration","138923.527"
"12","643","Russian Federation","107","2056","202","Median PI","130169.445"
"12","643","Russian Federation","107","2056","203","Upper 80 PI","138029.289"
"12","643","Russian Federation","107","2056","204","Lower 80 PI","121098.991"
"12","643","Russian Federation","107","2056","206","Upper 95 PI","142451.619"
"12","643","Russian Federation","107","2056","207","Lower 95 PI","116107.104"
"12","643","Russian Federation","106","2055","2","Medium","130700.222"
"12","643","Russian Federation","106","2055","3","High","143756.761"
"12","643","Russian Federation","106","2055","4","Low","118105.046"
"12","643","Russian Federation","106","2055","5","Constant fertility","126115.934"
"12","643","Russian Federation","106","2055","6","Instant replacement","143861.848"
"12","643","Russian Federation","106","2055","7","Zero migration","126241.053"
"12","643","Russian Federation","106","2055","8","Constant mortality","115752.895"
"12","643","Russian Federation","106","2055","9","No change","111236.285"
"12","643","Russian Federation","106","2055","10","Momentum","124197.833"
"12","643","Russian Federation","106","2055","16","Instant replacement zero migration","139084.212"
"12","643","Russian Federation","106","2055","202","Median PI","130700.222"
"12","643","Russian Federation","106","2055","203","Upper 80 PI","138312.322"
"12","643","Russian Federation","106","2055","204","Lower 80 PI","121929.053"
"12","643","Russian Federation","106","2055","206","Upper 95 PI","142621.165"
"12","643","Russian Federation","106","2055","207","Lower 95 PI","117257.315"
"12","643","Russian Federation","105","2054","2","Medium","131217.865"
"12","643","Russian Federation","105","2054","3","High","143713.652"
"12","643","Russian Federation","105","2054","4","Low","119081.576"
"12","643","Russian Federation","105","2054","5","Constant fertility","126867.437"
"12","643","Russian Federation","105","2054","6","Instant replacement","143868.136"
"12","643","Russian Federation","105","2054","7","Zero migration","126899.102"
"12","643","Russian Federation","105","2054","8","Constant mortality","116601.508"
"12","643","Russian Federation","105","2054","9","No change","112314.242"
"12","643","Russian Federation","105","2054","10","Momentum","124688.632"
"12","643","Russian Federation","105","2054","16","Instant replacement zero migration","139246.762"
"12","643","Russian Federation","105","2054","202","Median PI","131217.865"
"12","643","Russian Federation","105","2054","203","Upper 80 PI","138558.679"
"12","643","Russian Federation","105","2054","204","Lower 80 PI","122760.308"
"12","643","Russian Federation","105","2054","206","Upper 95 PI","142649.53"
"12","643","Russian Federation","105","2054","207","Lower 95 PI","118181.716"
"12","643","Russian Federation","104","2053","2","Medium","131720.512"
"12","643","Russian Federation","104","2053","3","High","143672.451"
"12","643","Russian Federation","104","2053","4","Low","120037.102"
"12","643","Russian Federation","104","2053","5","Constant fertility","127608.811"
"12","643","Russian Federation","104","2053","6","Instant replacement","143878.459"
"12","643","Russian Federation","104","2053","7","Zero migration","127541.259"
"12","643","Russian Federation","104","2053","8","Constant mortality","117438.05"
"12","643","Russian Federation","104","2053","9","No change","113385.17"
"12","643","Russian Federation","104","2053","10","Momentum","125184.351"
"12","643","Russian Federation","104","2053","16","Instant replacement zero migration","139411.671"
"12","643","Russian Federation","104","2053","202","Median PI","131720.512"
"12","643","Russian Federation","104","2053","203","Upper 80 PI","138786.121"
"12","643","Russian Federation","104","2053","204","Lower 80 PI","123516.714"
"12","643","Russian Federation","104","2053","206","Upper 95 PI","142758.766"
"12","643","Russian Federation","104","2053","207","Lower 95 PI","118970.584"
"12","643","Russian Federation","103","2052","2","Medium","132208.665"
"12","643","Russian Federation","103","2052","3","High","143634.498"
"12","643","Russian Federation","103","2052","4","Low","120972.774"
"12","643","Russian Federation","103","2052","5","Constant fertility","128337.77"
"12","643","Russian Federation","103","2052","6","Instant replacement","143892.652"
"12","643","Russian Federation","103","2052","7","Zero migration","128167.869"
"12","643","Russian Federation","103","2052","8","Constant mortality","118263.647"
"12","643","Russian Federation","103","2052","9","No change","114447.409"
"12","643","Russian Federation","103","2052","10","Momentum","125685.561"
"12","643","Russian Federation","103","2052","16","Instant replacement zero migration","139578.764"
"12","643","Russian Federation","103","2052","202","Median PI","132208.665"
"12","643","Russian Federation","103","2052","203","Upper 80 PI","139076.552"
"12","643","Russian Federation","103","2052","204","Lower 80 PI","124343.274"
"12","643","Russian Federation","103","2052","206","Upper 95 PI","142892.036"
"12","643","Russian Federation","103","2052","207","Lower 95 PI","119900.291"
"12","643","Russian Federation","102","2051","2","Medium","132680.696"
"12","643","Russian Federation","102","2051","3","High","143598.165"
"12","643","Russian Federation","102","2051","4","Low","121887.996"
"12","643","Russian Federation","102","2051","5","Constant fertility","129052.012"
"12","643","Russian Federation","102","2051","6","Instant replacement","143909.867"
"12","643","Russian Federation","102","2051","7","Zero migration","128777.31"
"12","643","Russian Federation","102","2051","8","Constant mortality","119077.797"
"12","643","Russian Federation","102","2051","9","No change","115499.757"
"12","643","Russian Federation","102","2051","10","Momentum","126192.638"
"12","643","Russian Federation","102","2051","16","Instant replacement zero migration","139747.205"
"12","643","Russian Federation","102","2051","202","Median PI","132680.696"
"12","643","Russian Federation","102","2051","203","Upper 80 PI","139382.159"
"12","643","Russian Federation","102","2051","204","Lower 80 PI","125155.364"
"12","643","Russian Federation","102","2051","206","Upper 95 PI","142992.869"
"12","643","Russian Federation","102","2051","207","Lower 95 PI","120901.353"
"12","643","Russian Federation","101","2050","2","Medium","133133.035"
"12","643","Russian Federation","101","2050","3","High","143559.369"
"12","643","Russian Federation","101","2050","4","Low","122780.493"
"12","643","Russian Federation","101","2050","5","Constant fertility","129750.644"
"12","643","Russian Federation","101","2050","6","Instant replacement","143929.685"
"12","643","Russian Federation","101","2050","7","Zero migration","129366.185"
"12","643","Russian Federation","101","2050","8","Constant mortality","119877.139"
"12","643","Russian Federation","101","2050","9","No change","116541.462"
"12","643","Russian Federation","101","2050","10","Momentum","126705.489"
"12","643","Russian Federation","101","2050","16","Instant replacement zero migration","139916.643"
"12","643","Russian Federation","101","2050","202","Median PI","133133.035"
"12","643","Russian Federation","101","2050","203","Upper 80 PI","139636.626"
"12","643","Russian Federation","101","2050","204","Lower 80 PI","125880.107"
"12","643","Russian Federation","101","2050","206","Upper 95 PI","143097.127"
"12","643","Russian Federation","101","2050","207","Lower 95 PI","121813.888"
"12","643","Russian Federation","100","2049","2","Medium","133568.298"
"12","643","Russian Federation","100","2049","3","High","143520.781"
"12","643","Russian Federation","100","2049","4","Low","123653.75"
"12","643","Russian Federation","100","2049","5","Constant fertility","130432.702"
"12","643","Russian Federation","100","2049","6","Instant replacement","143951.053"
"12","643","Russian Federation","100","2049","7","Zero migration","129937.055"
"12","643","Russian Federation","100","2049","8","Constant mortality","120664.945"
"12","643","Russian Federation","100","2049","9","No change","117572.253"
"12","643","Russian Federation","100","2049","10","Momentum","127223.913"
"12","643","Russian Federation","100","2049","16","Instant replacement zero migration","140086.125"
"12","643","Russian Federation","100","2049","202","Median PI","133568.298"
"12","643","Russian Federation","100","2049","203","Upper 80 PI","139880.705"
"12","643","Russian Federation","100","2049","204","Lower 80 PI","126593.815"
"12","643","Russian Federation","100","2049","206","Upper 95 PI","143191.32"
"12","643","Russian Federation","100","2049","207","Lower 95 PI","122536.083"
"12","643","Russian Federation","99","2048","2","Medium","133988.174"
"12","643","Russian Federation","99","2048","3","High","143483.709"
"12","643","Russian Federation","99","2048","4","Low","124510.201"
"12","643","Russian Federation","99","2048","5","Constant fertility","131096.9"
"12","643","Russian Federation","99","2048","6","Instant replacement","143972.549"
"12","643","Russian Federation","99","2048","7","Zero migration","130491.633"
"12","643","Russian Federation","99","2048","8","Constant mortality","121444.37"
"12","643","Russian Federation","99","2048","9","No change","118592.312"
"12","643","Russian Federation","99","2048","10","Momentum","127748.118"
"12","643","Russian Federation","99","2048","16","Instant replacement zero migration","140254.342"
"12","643","Russian Federation","99","2048","202","Median PI","133988.174"
"12","643","Russian Federation","99","2048","203","Upper 80 PI","140122.948"
"12","643","Russian Federation","99","2048","204","Lower 80 PI","127363.231"
"12","643","Russian Federation","99","2048","206","Upper 95 PI","143312.542"
"12","643","Russian Federation","99","2048","207","Lower 95 PI","123272.717"
"12","643","Russian Federation","98","2047","2","Medium","134390.857"
"12","643","Russian Federation","98","2047","3","High","143444.422"
"12","643","Russian Federation","98","2047","4","Low","125348.672"
"12","643","Russian Federation","98","2047","5","Constant fertility","131742.411"
"12","643","Russian Federation","98","2047","6","Instant replacement","143993.229"
"12","643","Russian Federation","98","2047","7","Zero migration","131028.292"
"12","643","Russian Federation","98","2047","8","Constant mortality","122215.053"
"12","643","Russian Federation","98","2047","9","No change","119602.238"
"12","643","Russian Federation","98","2047","10","Momentum","128278.757"
"12","643","Russian Federation","98","2047","16","Instant replacement zero migration","140420.473"
"12","643","Russian Federation","98","2047","202","Median PI","134390.857"
"12","643","Russian Federation","98","2047","203","Upper 80 PI","140314.163"
"12","643","Russian Federation","98","2047","204","Lower 80 PI","128052.027"
"12","643","Russian Federation","98","2047","206","Upper 95 PI","143313.561"
"12","643","Russian Federation","98","2047","207","Lower 95 PI","124042.815"
"12","643","Russian Federation","97","2046","2","Medium","134783.212"
"12","643","Russian Federation","97","2046","3","High","143407.125"
"12","643","Russian Federation","97","2046","4","Low","126176.021"
"12","643","Russian Federation","97","2046","5","Constant fertility","132369.576"
"12","643","Russian Federation","97","2046","6","Instant replacement","144013.773"
"12","643","Russian Federation","97","2046","7","Zero migration","131553.797"
"12","643","Russian Federation","97","2046","8","Constant mortality","122984.457"
"12","643","Russian Federation","97","2046","9","No change","120603.027"
"12","643","Russian Federation","97","2046","10","Momentum","128817.298"
"12","643","Russian Federation","97","2046","16","Instant replacement zero migration","140585.302"
"12","643","Russian Federation","97","2046","202","Median PI","134783.212"
"12","643","Russian Federation","97","2046","203","Upper 80 PI","140522.304"
"12","643","Russian Federation","97","2046","204","Lower 80 PI","128667.074"
"12","643","Russian Federation","97","2046","206","Upper 95 PI","143331.368"
"12","643","Russian Federation","97","2046","207","Lower 95 PI","124881.843"
"12","643","Russian Federation","96","2045","2","Medium","135171.274"
"12","643","Russian Federation","96","2045","3","High","143375.136"
"12","643","Russian Federation","96","2045","4","Low","126997.938"
"12","643","Russian Federation","96","2045","5","Constant fertility","132978.141"
"12","643","Russian Federation","96","2045","6","Instant replacement","144035.153"
"12","643","Russian Federation","96","2045","7","Zero migration","132074.142"
"12","643","Russian Federation","96","2045","8","Constant mortality","123760.17"
"12","643","Russian Federation","96","2045","9","No change","121596.015"
"12","643","Russian Federation","96","2045","10","Momentum","129366.394"
"12","643","Russian Federation","96","2045","16","Instant replacement zero migration","140749.903"
"12","643","Russian Federation","96","2045","202","Median PI","135171.274"
"12","643","Russian Federation","96","2045","203","Upper 80 PI","140745.769"
"12","643","Russian Federation","96","2045","204","Lower 80 PI","129322.571"
"12","643","Russian Federation","96","2045","206","Upper 95 PI","143410.056"
"12","643","Russian Federation","96","2045","207","Lower 95 PI","125685.273"
"12","643","Russian Federation","95","2044","2","Medium","135554.9"
"12","643","Russian Federation","95","2044","3","High","143345.586"
"12","643","Russian Federation","95","2044","4","Low","127813.731"
"12","643","Russian Federation","95","2044","5","Constant fertility","133568.584"
"12","643","Russian Federation","95","2044","6","Instant replacement","144059.604"
"12","643","Russian Federation","95","2044","7","Zero migration","132589.378"
"12","643","Russian Federation","95","2044","8","Constant mortality","124543.169"
"12","643","Russian Federation","95","2044","9","No change","122582.784"
"12","643","Russian Federation","95","2044","10","Momentum","129929.47"
"12","643","Russian Federation","95","2044","16","Instant replacement zero migration","140916.614"
"12","643","Russian Federation","95","2044","202","Median PI","135554.9"
"12","643","Russian Federation","95","2044","203","Upper 80 PI","140910.681"
"12","643","Russian Federation","95","2044","204","Lower 80 PI","129960.789"
"12","643","Russian Federation","95","2044","206","Upper 95 PI","143393.083"
"12","643","Russian Federation","95","2044","207","Lower 95 PI","126419.795"
"12","643","Russian Federation","94","2043","2","Medium","135935.122"
"12","643","Russian Federation","94","2043","3","High","143316.513"
"12","643","Russian Federation","94","2043","4","Low","128623.623"
"12","643","Russian Federation","94","2043","5","Constant fertility","134142.256"
"12","643","Russian Federation","94","2043","6","Instant replacement","144089.985"
"12","643","Russian Federation","94","2043","7","Zero migration","133100.675"
"12","643","Russian Federation","94","2043","8","Constant mortality","125334.975"
"12","643","Russian Federation","94","2043","9","No change","123565.178"
"12","643","Russian Federation","94","2043","10","Momentum","130509.958"
"12","643","Russian Federation","94","2043","16","Instant replacement zero migration","141088.384"
"12","643","Russian Federation","94","2043","202","Median PI","135935.122"
"12","643","Russian Federation","94","2043","203","Upper 80 PI","141029.979"
"12","643","Russian Federation","94","2043","204","Lower 80 PI","130597.224"
"12","643","Russian Federation","94","2043","206","Upper 95 PI","143341.179"
"12","643","Russian Federation","94","2043","207","Lower 95 PI","127235.939"
"12","643","Russian Federation","93","2042","2","Medium","136317.799"
"12","643","Russian Federation","93","2042","3","High","143290.908"
"12","643","Russian Federation","93","2042","4","Low","129432.517"
"12","643","Russian Federation","93","2042","5","Constant fertility","134700.133"
"12","643","Russian Federation","93","2042","6","Instant replacement","144128.492"
"12","643","Russian Federation","93","2042","7","Zero migration","133613.857"
"12","643","Russian Federation","93","2042","8","Constant mortality","126142.578"
"12","643","Russian Federation","93","2042","9","No change","124545.328"
"12","643","Russian Federation","93","2042","10","Momentum","131111.294"
"12","643","Russian Federation","93","2042","16","Instant replacement zero migration","141267.495"
"12","643","Russian Federation","93","2042","202","Median PI","136317.8"
"12","643","Russian Federation","93","2042","203","Upper 80 PI","141155.979"
"12","643","Russian Federation","93","2042","204","Lower 80 PI","131227.753"
"12","643","Russian Federation","93","2042","206","Upper 95 PI","143354.752"
