"Variable Code","Country or Area Code","Country or Area","Year(s) Code","Year(s)","Variant Code","Variant","Value"
"12","643","Russian Federation","146","2095","204","Lower 80 PI","93856.535"
"12","643","Russian Federation","146","2095","206","Upper 95 PI","143290.375"
"12","643","Russian Federation","146","2095","207","Lower 95 PI","82310.207"
"12","643","Russian Federation","145","2094","2","Medium","113699.861"
"12","643","Russian Federation","145","2094","3","High","157905.177"
"12","643","Russian Federation","145","2094","4","Low","79301.7"
"12","643","Russian Federation","145","2094","5","Constant fertility","97652.848"
"12","643","Russian Federation","145","2094","6","Instant replacement","150096.573"
"12","643","Russian Federation","145","2094","7","Zero migration","103689.381"
"12","643","Russian Federation","145","2094","8","Constant mortality","92017.359"
"12","643","Russian Federation","145","2094","9","No change","76837.283"
"12","643","Russian Federation","145","2094","10","Momentum","115768.52"
"12","643","Russian Federation","145","2094","16","Instant replacement zero migration","138701.694"
"12","643","Russian Federation","145","2094","202","Median PI","113699.861"
"12","643","Russian Federation","145","2094","203","Upper 80 PI","131793.581"
"12","643","Russian Federation","145","2094","204","Lower 80 PI","94368.389"
"12","643","Russian Federation","145","2094","206","Upper 95 PI","142809.17"
"12","643","Russian Federation","145","2094","207","Lower 95 PI","83098.661"
"12","643","Russian Federation","144","2093","2","Medium","113969.018"
"12","643","Russian Federation","144","2093","3","High","157177.244"
"12","643","Russian Federation","144","2093","4","Low","80146.716"
"12","643","Russian Federation","144","2093","5","Constant fertility","98249.697"
"12","643","Russian Federation","144","2093","6","Instant replacement","149693.294"
"12","643","Russian Federation","144","2093","7","Zero migration","104096.007"
"12","643","Russian Federation","144","2093","8","Constant mortality","92468.615"
"12","643","Russian Federation","144","2093","9","No change","77566.923"
"12","643","Russian Federation","144","2093","10","Momentum","115838.337"
"12","643","Russian Federation","144","2093","16","Instant replacement zero migration","138474.835"
"12","643","Russian Federation","144","2093","202","Median PI","113969.018"
"12","643","Russian Federation","144","2093","203","Upper 80 PI","131753.462"
"12","643","Russian Federation","144","2093","204","Lower 80 PI","94986.71"
"12","643","Russian Federation","144","2093","206","Upper 95 PI","142430.616"
"12","643","Russian Federation","144","2093","207","Lower 95 PI","83982.819"
"12","643","Russian Federation","143","2092","2","Medium","114237.495"
"12","643","Russian Federation","143","2092","3","High","156457.754"
"12","643","Russian Federation","143","2092","4","Low","80990.835"
"12","643","Russian Federation","143","2092","5","Constant fertility","98847.417"
"12","643","Russian Federation","143","2092","6","Instant replacement","149290.971"
"12","643","Russian Federation","143","2092","7","Zero migration","104502.269"
"12","643","Russian Federation","143","2092","8","Constant mortality","92920.49"
"12","643","Russian Federation","143","2092","9","No change","78301.129"
"12","643","Russian Federation","143","2092","10","Momentum","115903.598"
"12","643","Russian Federation","143","2092","16","Instant replacement zero migration","138248.356"
"12","643","Russian Federation","143","2092","202","Median PI","114237.495"
"12","643","Russian Federation","143","2092","203","Upper 80 PI","131814.185"
"12","643","Russian Federation","143","2092","204","Lower 80 PI","95673.396"
"12","643","Russian Federation","143","2092","206","Upper 95 PI","142368.173"
"12","643","Russian Federation","143","2092","207","Lower 95 PI","84880.863"
"12","643","Russian Federation","142","2091","2","Medium","114508.299"
"12","643","Russian Federation","142","2091","3","High","155750.783"
"12","643","Russian Federation","142","2091","4","Low","81836.769"
"12","643","Russian Federation","142","2091","5","Constant fertility","99448.85"
"12","643","Russian Federation","142","2091","6","Instant replacement","148892.019"
"12","643","Russian Federation","142","2091","7","Zero migration","104911.031"
"12","643","Russian Federation","142","2091","8","Constant mortality","93372.127"
"12","643","Russian Federation","142","2091","9","No change","79038.82"
"12","643","Russian Federation","142","2091","10","Momentum","115962.901"
"12","643","Russian Federation","142","2091","16","Instant replacement zero migration","138024.662"
"12","643","Russian Federation","142","2091","202","Median PI","114508.299"
"12","643","Russian Federation","142","2091","203","Upper 80 PI","131775.984"
"12","643","Russian Federation","142","2091","204","Lower 80 PI","96301.257"
"12","643","Russian Federation","142","2091","206","Upper 95 PI","142250.773"
"12","643","Russian Federation","142","2091","207","Lower 95 PI","85619.999"
"12","643","Russian Federation","141","2090","2","Medium","114785.573"
"12","643","Russian Federation","141","2090","3","High","155062.372"
"12","643","Russian Federation","141","2090","4","Low","82687.739"
"12","643","Russian Federation","141","2090","5","Constant fertility","100056.077"
"12","643","Russian Federation","141","2090","6","Instant replacement","148498.437"
"12","643","Russian Federation","141","2090","7","Zero migration","105326.155"
"12","643","Russian Federation","141","2090","8","Constant mortality","93824.607"
"12","643","Russian Federation","141","2090","9","No change","79778.992"
"12","643","Russian Federation","141","2090","10","Momentum","116015.198"
"12","643","Russian Federation","141","2090","16","Instant replacement zero migration","137805.787"
"12","643","Russian Federation","141","2090","202","Median PI","114785.573"
"12","643","Russian Federation","141","2090","203","Upper 80 PI","131680.734"
"12","643","Russian Federation","141","2090","204","Lower 80 PI","96892.899"
"12","643","Russian Federation","141","2090","206","Upper 95 PI","141971.125"
"12","643","Russian Federation","141","2090","207","Lower 95 PI","86347.872"
"12","643","Russian Federation","140","2089","2","Medium","115068.352"
"12","643","Russian Federation","140","2089","3","High","154390.928"
"12","643","Russian Federation","140","2089","4","Low","83543.89"
"12","643","Russian Federation","140","2089","5","Constant fertility","100670.742"
"12","643","Russian Federation","140","2089","6","Instant replacement","148111.802"
"12","643","Russian Federation","140","2089","7","Zero migration","105746.915"
"12","643","Russian Federation","140","2089","8","Constant mortality","94274.649"
"12","643","Russian Federation","140","2089","9","No change","80520.811"
"12","643","Russian Federation","140","2089","10","Momentum","116059.688"
"12","643","Russian Federation","140","2089","16","Instant replacement zero migration","137593.336"
"12","643","Russian Federation","140","2089","202","Median PI","115068.352"
"12","643","Russian Federation","140","2089","203","Upper 80 PI","131534.383"
"12","643","Russian Federation","140","2089","204","Lower 80 PI","97451.02"
"12","643","Russian Federation","140","2089","206","Upper 95 PI","141704.17"
"12","643","Russian Federation","140","2089","207","Lower 95 PI","87094.127"
"12","643","Russian Federation","139","2088","2","Medium","115356.684"
"12","643","Russian Federation","139","2088","3","High","153735.897"
"12","643","Russian Federation","139","2088","4","Low","84406.355"
"12","643","Russian Federation","139","2088","5","Constant fertility","101295.24"
"12","643","Russian Federation","139","2088","6","Instant replacement","147734.679"
"12","643","Russian Federation","139","2088","7","Zero migration","106173.524"
"12","643","Russian Federation","139","2088","8","Constant mortality","94719.472"
"12","643","Russian Federation","139","2088","9","No change","81263.724"
"12","643","Russian Federation","139","2088","10","Momentum","116096.031"
"12","643","Russian Federation","139","2088","16","Instant replacement zero migration","137389.876"
"12","643","Russian Federation","139","2088","202","Median PI","115356.684"
"12","643","Russian Federation","139","2088","203","Upper 80 PI","131448.985"
"12","643","Russian Federation","139","2088","204","Lower 80 PI","97985.012"
"12","643","Russian Federation","139","2088","206","Upper 95 PI","141599.612"
"12","643","Russian Federation","139","2088","207","Lower 95 PI","87847.873"
"12","643","Russian Federation","138","2087","2","Medium","115652.642"
"12","643","Russian Federation","138","2087","3","High","153100.005"
"12","643","Russian Federation","138","2087","4","Low","85277.266"
"12","643","Russian Federation","138","2087","5","Constant fertility","101931.253"
"12","643","Russian Federation","138","2087","6","Instant replacement","147369.233"
"12","643","Russian Federation","138","2087","7","Zero migration","106607.993"
"12","643","Russian Federation","138","2087","8","Constant mortality","95159.334"
"12","643","Russian Federation","138","2087","9","No change","82007.53"
"12","643","Russian Federation","138","2087","10","Momentum","116124.64"
"12","643","Russian Federation","138","2087","16","Instant replacement zero migration","137197.6"
"12","643","Russian Federation","138","2087","202","Median PI","115652.642"
"12","643","Russian Federation","138","2087","203","Upper 80 PI","131448.708"
"12","643","Russian Federation","138","2087","204","Lower 80 PI","98593.56"
"12","643","Russian Federation","138","2087","206","Upper 95 PI","141528.113"
"12","643","Russian Federation","138","2087","207","Lower 95 PI","88646.316"
"12","643","Russian Federation","137","2086","2","Medium","115958.095"
"12","643","Russian Federation","137","2086","3","High","152485.543"
"12","643","Russian Federation","137","2086","4","Low","86158.672"
"12","643","Russian Federation","137","2086","5","Constant fertility","102580.318"
"12","643","Russian Federation","137","2086","6","Instant replacement","147017.584"
"12","643","Russian Federation","137","2086","7","Zero migration","107052.175"
"12","643","Russian Federation","137","2086","8","Constant mortality","95594.833"
"12","643","Russian Federation","137","2086","9","No change","82752.409"
"12","643","Russian Federation","137","2086","10","Momentum","116146.538"
"12","643","Russian Federation","137","2086","16","Instant replacement zero migration","137018.657"
"12","643","Russian Federation","137","2086","202","Median PI","115958.095"
"12","643","Russian Federation","137","2086","203","Upper 80 PI","131448.048"
"12","643","Russian Federation","137","2086","204","Lower 80 PI","99151.072"
"12","643","Russian Federation","137","2086","206","Upper 95 PI","141381.022"
"12","643","Russian Federation","137","2086","207","Lower 95 PI","89430.41"
"12","643","Russian Federation","136","2085","2","Medium","116274.231"
"12","643","Russian Federation","136","2085","3","High","151893.841"
"12","643","Russian Federation","136","2085","4","Low","87052.084"
"12","643","Russian Federation","136","2085","5","Constant fertility","103243.561"
"12","643","Russian Federation","136","2085","6","Instant replacement","146681.751"
"12","643","Russian Federation","136","2085","7","Zero migration","107507.255"
"12","643","Russian Federation","136","2085","8","Constant mortality","96026.671"
"12","643","Russian Federation","136","2085","9","No change","83498.91"
"12","643","Russian Federation","136","2085","10","Momentum","116163.474"
"12","643","Russian Federation","136","2085","16","Instant replacement zero migration","136855.095"
"12","643","Russian Federation","136","2085","202","Median PI","116274.231"
"12","643","Russian Federation","136","2085","203","Upper 80 PI","131458.399"
"12","643","Russian Federation","136","2085","204","Lower 80 PI","99648.001"
"12","643","Russian Federation","136","2085","206","Upper 95 PI","141151.127"
"12","643","Russian Federation","136","2085","207","Lower 95 PI","90253.294"
"12","643","Russian Federation","135","2084","2","Medium","116601.011"
"12","643","Russian Federation","135","2084","3","High","151324.405"
"12","643","Russian Federation","135","2084","4","Low","87958.139"
"12","643","Russian Federation","135","2084","5","Constant fertility","103921.81"
"12","643","Russian Federation","135","2084","6","Instant replacement","146363.707"
"12","643","Russian Federation","135","2084","7","Zero migration","107973.317"
"12","643","Russian Federation","135","2084","8","Constant mortality","96454.906"
"12","643","Russian Federation","135","2084","9","No change","84247.848"
"12","643","Russian Federation","135","2084","10","Momentum","116177.785"
